"ID";"TIPO_DOCUMENTO";"ANO";"MÊS";"NOME_SENADOR";"TIPO_DESPESA";"CPF_CNPJ_FORNECEDOR";"DOCUMENTO";"DATA";"DETALHAMENTO";"VALOR_REEMBOLSADO"
"209466";"1";"2009";"6";"ADELMIR SANTANA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"02989654000387";"Melhor Posto de Combustíveis LTDA";"37782";"2009-06-24";;"130"
"209473";"1";"2009";"7";"ADELMIR SANTANA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"00000042000556";"Auto posto Gasol Ltda";"119010";"2009-07-25";;"167.73"
"251383";"1";"2009";"8";"ADELMIR SANTANA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"02142987000104";"CA Guimarães Baião Consultores Associados S/S Ltda";"223";"2010-03-30";;"10500"
"209474";"1";"2009";"8";"ADELMIR SANTANA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"01666674000192";"CAC Consultoria Política";"337";"2009-09-02";;"3000"
"251384";"1";"2009";"9";"ADELMIR SANTANA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"02142987000104";"CA Guimarães Baião Consultores Associados S/S Ltda";"224";"2010-03-30";;"12000"
"209475";"1";"2009";"9";"ADELMIR SANTANA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"01666674000192";"CAC Consultoria Política";"338";"2009-09-28";;"3000"
"251385";"1";"2009";"10";"ADELMIR SANTANA";"Divulgação da atividade parlamentar";"09320613000180";"KRV Vídeos e Marketing Ltda EPP";"255";"2010-03-30";;"14850"
"209478";"1";"2009";"11";"ADELMIR SANTANA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"06027073000153";"BGENS Multimídia LTDA";"865";"2009-11-03";;"66960"
"209479";"1";"2009";"11";"ADELMIR SANTANA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"05256794000172";"Auto Posto JK ";"34601";"2009-11-04";;"185"
"251386";"1";"2009";"12";"ADELMIR SANTANA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"01031947000122";"Agência Brasileira de Comunicação Ltda";"208";"2010-03-31";;"13840"
"2009010348801";;"2009";"1";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";;;;;;"280.41"
"2009010348803";;"2009";"1";"ALMEIDA LIMA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";;;;;;"14719.59"
"2009020348801";;"2009";"2";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";;;;;;"1406.1"
"2009020348803";;"2009";"2";"ALMEIDA LIMA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";;;;;;"12779.01"
"2009030348802";;"2009";"3";"ALMEIDA LIMA";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";;;;;;"199.83"
"2009030348804";;"2009";"3";"ALMEIDA LIMA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";;;;;;"1716.75"
"2009030348803";;"2009";"3";"ALMEIDA LIMA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";;;;;;"13192.58"
"191661";"4";"2009";"4";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"13018171000190";"Deso - Companhia de Saneamento de Sergipe";;"2009-04-15";;"323.53"
"191660";"4";"2009";"4";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"13017462000163";"Energisa Sergipe SA";;"2009-04-02";;"367.76"
"223477";"4";"2009";"11";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"13017462000163";"Energisa Sergipe SA";;"2009-11-05";;"247.86"
"223480";"4";"2009";"11";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"04164616000159";"Oi - TNL PCS SA";;"2009-11-02";;"606.39"
"223481";"4";"2009";"11";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"33000118000411";"Oi Fixo - Telemar Norte Leste SA";;"2009-11-01";;"15.45"
"223483";"1";"2009";"11";"ALMEIDA LIMA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"03167320000129";"Comercial Tele Alarme Ltda";"009639";"2009-11-04";;"80"
"223482";"1";"2009";"11";"ALMEIDA LIMA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"02242370000160";"LIG TV";"5438941009";"2009-11-15";;"66.8"
"223479";"5";"2009";"11";"ALMEIDA LIMA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"32713380000106";"Netservices Internet Ltda";;"2009-11-15";;"44.9"
