"ID";"TIPO_DOCUMENTO";"ANO";"MÊS";"NOME_SENADOR";"TIPO_DESPESA";"CPF_CNPJ_FORNECEDOR";"DOCUMENTO";"DATA";"DETALHAMENTO";"VALOR_REEMBOLSADO"
"310197";"2";"2010";"9";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"04082624000822";"IRMÃOS GONÇALVES COMÉRCIO E INDÚSTRIA LTDA";"039884";"2010-09-14";;"50.1"
"310200";"1";"2010";"9";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"34750281000111";"SUPERMERCADO SANCHEZ";"007768";"2010-09-17";;"10"
"310201";"2";"2010";"9";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"11662549000168";"DAL BOSCO & DAL BOSCO LTDA";"023086";"2010-09-21";;"67.22"
"297922";"1";"2010";"9";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"01955814000142";"MS COMÉRCIO DERIVADOS PETRÓLEO";"000.000.569";"2010-09-20";;"2466.2"
"297923";"1";"2010";"9";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"84707538000120";"YURI COMÉRCIO DE COMBUSTÍVEIS LTDA";"000.000.492";"2010-09-20";;"1890.6"
"297924";"1";"2010";"9";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"84707538000120";"YURI COMÉRCIO DE COMBUSTÍVEIS LTDA";"000.001.512";"2010-09-24";;"3537.4"
"297925";"1";"2010";"9";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"84707538000120";"YURI COMÉRCIO DE COMBUSTÍVEIS LTDA";"000.001.516";"2010-09-25";;"234.6"
"300469";"3";"2010";"10";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"00494802863";"GILBERTO PISELO DO NASCIMENTO";"10";"2010-10-12";;"5000"
"310207";"4";"2010";"10";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"76535764000143";"BRASIL TELECOM S.A.";"96.301-1";"2010-10-14";;"487.11"
"310205";"1";"2010";"10";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"05914650000166";"CENTRAIS ELÉTRICAS DE RONDÔNIA - CERON";"452163-3";"2010-10-08";;"42.26"
"310210";"1";"2010";"10";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"05914650000166";"CENTRAIS ELÉTRICAS DE RONDÔNIA - CERON";"0454206-1";"2010-10-19";;"278.04"
"310204";"2";"2010";"10";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"02389772000192";"RONDONIA INFORMÁTICA E SERVIÇOS LTDA";"013674";"2010-10-07";;"60"
"310203";"1";"2010";"10";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"34750281000111";"SUPERMERCADO SANCHEZ";"007803";"2010-10-05";;"10"
"310206";"2";"2010";"10";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"11662549000168";"DAL BOSCO & DAL BOSCO LTDA";"033215";"2010-10-12";;"126.03"
"310209";"2";"2010";"10";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"05916036000133";"JOSÉ OTONIO LIMA SILVA - POSTO VITORIA 01";"147225";"2010-10-19";;"127.6"
"310208";"2";"2010";"10";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"09251245000166";"MEDALHÃO ALIMENTOS LTDA ME";"006096";"2010-10-15";;"33.21"
"277219";"1";"2010";"1";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"05914650000166";"CENTRAIS ELÉTRICAS DE RONDÔNIA";"045216-3";"2010-01-19";;"59.08"
"277218";"1";"2010";"1";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"05914650000166";"CENTRAIS ELÉTRICAS DE RONDônia";"0454206-1";"2010-01-19";;"40.47"
"229109";"3";"2010";"1";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"00494802863";"GILBERTO PISELO DO NASCIMENTO";;"2010-01-12";;"5000"
"268264";"1";"2010";"1";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"09040457000102";"CENTRAL RONDÔNIA.COM";"000003";"2010-01-05";;"1500"
"268265";"2";"2010";"1";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"15896509000131";"POSTO FORTALEZA";"018215";"2010-01-07";;"30"
"268266";"2";"2010";"1";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"15896509000131";"POSTO FORTALEZA";"018884";"2010-01-27";;"111"
"268268";"2";"2010";"1";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"63755391000174";"VICENTE & TESTONI LTDA";"050501";"2010-01-07";;"100"
"268267";"2";"2010";"1";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"63755391000174";"vicente & testoni ltda";"050201";"2010-01-02";;"50"
"277223";"1";"2010";"2";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"05914650000166";"CENTRAIS ELÉTRICAS DE RONDÔNIA - CERON";"0452163-3";"2010-02-19";;"40.27"
"277222";"1";"2010";"2";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"05914650000166";"CENTRAIS ELÉTRICAS DE RONDÔNIA - CERON";"0454206-1";"2010-02-19";;"69.27"
"245670";"3";"2010";"2";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"00494802863";"GILBERTO PISELO DO NASCIMENTO";;"2010-02-12";;"5000"
"277221";"1";"2010";"2";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"76535764000143";"OI BRASIL TELECOM S.A.";"96301-1";"2010-02-14";;"219.54"
"268278";"2";"2010";"2";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"04875273000130";"FORT ALIMENTOS LTDA";"029013";"2010-02-23";;"8.65"
