"ID";"TIPO_DOCUMENTO";"ANO";"MÊS";"NOME_SENADOR";"TIPO_DESPESA";"CPF_CNPJ_FORNECEDOR";"DOCUMENTO";"DATA";"DETALHAMENTO";"VALOR_REEMBOLSADO"
"2142267";"7";"2020";"3";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"84721745000130";"O.F. CALADO EDIÇÕES";"125";"2020-03-11";"Despesa com divulgação da atividade parlamentar";"2000"
"2142246";"7";"2020";"3";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"08941827000101";"RONDONIA DINÂMICA COM. E SERV. DE INFORMÁTICA LTDA";"000000000001217/A";"2020-03-04";"Divulgação da atividade parlamentar";"1000"
"2142264";"7";"2020";"3";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"08941827000101";"RONDONIA DINÂMICA COM. E SERV. DE INFORMÁTICA LTDA";"000000000001220/A";"2020-03-10";"Despesa com divulgação da atividade parlamentar";"1000"
"2142270";"7";"2020";"3";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"22285323000101";"RONEY DA SILVA RIBEIRO 03032197503";"211";"2020-03-10";"Despesa com divulgação da atividade parlamentar";"500"
"2142259";"7";"2020";"3";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"30637754000118";"RUBENS COITINHO DOS SANTOS";"000000000000262/A";"2020-03-10";"Despesa com divulgação da atividade parlamentar no jornal eletrônico  www.tudorondonia.com";"1000"
"2142266";"7";"2020";"3";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"10575238000107";"VOZ DE RONDÔNIA  PUBLICIDADES E PROPAGANDA LTDA ME";"000000000000672/A";"2020-03-10";"Despesa com divulgação da atividade parlamentar";"1000"
"2143317";"7";"2020";"3";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"21073786000147";"PETRO SAPPER CUIABA LTDA";"000006506";"2020-03-23";"Despesa com aquisição de combustível para abastecimento de aeronave";"3944"
"2143314";"7";"2020";"3";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"33453598021716";"RAIZEN COMBUSTÍVEIS S.A.";"000006137";"2020-03-11";"Despesa com aquisição de combustível para abastecimento de aeronave";"4221.61"
"2143316";"7";"2020";"3";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"33453598006679";"RAIZEN COMBUSTÍVEIS S.A.";"000016881";"2020-03-21";"Despesa com aquisição de combustível para aeronave";"4496.03"
"2143320";"7";"2020";"3";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"34274233009746";"VIBRA ENERGIA";"000811700";"2020-03-31";"Despesa com aquisição de combustível para abastecimento de aeronave";"5650.43"
"2142248";"6";"2020";"3";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"63764211000110";"TRANSCONTINENTAL AGÊNCIA DE VIAGENS LTDA";"VBQBOK";"2020-01-14";"Companhia Aérea: LATAM, Localizador: VBQBOK. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3562 - GRUBSB - 04/03/20; ";"642.08"
